,x,y,labels
0,10.943536,4.713848,7.0
1,10.091767,4.716868,2.0
2,13.191965,2.2006805,1.0
3,9.049749,6.2085357,0.0
4,11.940327,7.0427337,4.0
5,12.334387,2.0739937,1.0
6,11.671081,5.8950033,4.0
7,10.344758,5.9464016,9.0
8,9.874839,5.4369774,5.0
9,8.886921,3.89819,9.0
10,9.243796,7.1538916,0.0
11,9.769849,7.106844,6.0
12,11.071674,4.8135643,9.0
13,9.630322,7.3323927,0.0
14,11.9217615,0.90955544,1.0
15,9.915324,6.999385,5.0
16,11.539804,6.167403,9.0
17,10.229608,5.441702,7.0
18,7.6442137,5.4570827,3.0
19,12.878663,6.3632326,4.0
20,9.717781,3.3629677,9.0
21,11.345054,6.1818123,6.0
22,10.812061,7.222207,6.0
23,11.034443,4.4764338,5.0
24,12.852774,6.966432,4.0
25,7.1508503,5.587875,0.0
26,11.896953,5.7614484,7.0
27,11.7858925,6.744527,4.0
28,9.153726,6.156782,0.0
29,12.848793,2.0863914,1.0
30,10.14965,4.4226494,3.0
31,12.668586,2.4713228,1.0
32,10.254577,5.1446247,3.0
33,10.411539,7.253829,4.0
34,9.445176,3.54113,7.0
35,8.866785,5.0944195,2.0
36,11.595777,5.918722,7.0
37,12.095577,0.83221644,1.0
38,10.89,5.2263875,2.0
39,11.580023,1.0310271,1.0
40,14.397619,1.958684,1.0
41,11.416468,5.332371,7.0
42,11.0908,4.9431734,4.0
43,11.003572,5.630312,2.0
44,11.212654,4.0119014,3.0
45,10.996196,5.006557,5.0
46,10.85389,3.9281797,1.0
47,11.511909,5.802166,2.0
48,9.596095,5.161552,4.0
49,10.737998,6.691058,4.0
50,11.137182,5.6701207,6.0
51,7.8151364,5.354805,3.0
52,10.328929,5.1038632,5.0
53,11.444082,7.7462015,5.0
54,7.799017,7.006947,6.0
55,9.855126,5.740978,0.0
56,10.226623,6.8518753,4.0
57,13.531062,2.362621,1.0
58,10.482546,5.8867326,9.0
59,12.256894,3.8554692,5.0
60,9.87719,5.848962,7.0
61,8.701861,4.6069813,8.0
62,13.465508,5.666252,9.0
63,10.720259,4.027087,3.0
64,8.772382,4.287753,7.0
65,13.41162,5.585594,4.0
66,10.86706,6.687272,6.0
67,11.045915,6.200602,4.0
68,9.208103,3.8646944,3.0
69,9.091463,7.5457363,0.0
70,10.364967,5.8587794,7.0
71,7.387846,6.6337123,0.0
72,9.976369,5.572781,2.0
73,9.211709,2.9757395,9.0
74,12.188294,0.7473362,1.0
75,11.456655,4.6235704,7.0
76,11.626969,5.169232,3.0
77,10.432942,5.8932047,2.0
78,11.37983,3.2702138,9.0
79,8.502127,2.9752998,7.0
80,11.542675,5.65873,7.0
81,10.237481,5.9958167,6.0
82,8.695413,4.9354277,2.0
83,11.606182,5.640515,7.0
84,9.39274,4.7499914,8.0
85,9.429868,5.6547914,4.0
86,10.100413,2.8654218,7.0
87,10.360878,6.0164037,3.0
88,9.080869,6.7208743,6.0
89,11.579786,2.1173234,1.0
90,10.245204,5.0843573,3.0
91,11.579458,6.210624,6.0
92,11.987648,4.4577956,9.0
93,9.058367,3.6882968,3.0
94,10.512844,2.1224873,1.0
95,7.960256,4.354724,4.0
96,12.538548,3.9416275,1.0
97,9.204413,3.7852976,7.0
98,11.54187,5.7297926,6.0
99,10.256753,6.069773,9.0
100,10.986487,7.3688235,6.0
101,9.639867,7.6390977,0.0
102,9.682737,4.7479243,5.0
103,11.124018,6.7744393,4.0
104,10.153583,7.487438,9.0
105,11.924888,6.3137727,9.0
106,8.563452,5.890578,2.0
107,12.333079,3.0319397,1.0
108,11.068817,5.1539702,9.0
109,13.055524,7.311321,4.0
110,10.1395445,3.6229324,8.0
111,11.402853,2.0734296,7.0
112,11.484771,3.6545398,3.0
113,11.121117,5.306008,9.0
114,11.939144,4.9074135,7.0
115,12.583784,4.184423,4.0
116,13.010906,5.507444,4.0
117,10.169264,6.095402,4.0
118,12.329205,5.2468867,9.0
119,9.93882,5.4753776,2.0
120,8.837316,4.546186,5.0
121,11.021101,5.7435846,4.0
122,12.331212,5.5908837,7.0
123,10.664436,5.964608,6.0
124,9.95957,3.9868603,7.0
125,12.074873,6.4019647,9.0
126,8.244481,6.6531224,0.0
127,9.975743,3.914769,5.0
128,9.068505,3.2831569,8.0
129,10.479874,4.109167,5.0
130,8.969805,5.0412855,6.0
131,8.2431345,5.195417,6.0
132,8.396371,4.6701202,5.0
133,9.390381,4.329708,7.0
134,9.840924,3.6428237,8.0
135,11.497541,0.78916717,1.0
136,10.6555605,6.4810314,0.0
137,10.975968,1.8724294,1.0
138,9.440156,6.6790695,6.0
139,9.909963,4.474779,4.0
140,12.858385,6.0683193,6.0
141,11.3111,5.4861245,7.0
142,9.845904,4.9611897,3.0
143,13.12056,1.3564113,1.0
144,10.606396,4.4187937,7.0
145,13.299711,1.9321742,1.0
146,9.190892,3.2156184,8.0
147,8.636459,5.1829543,2.0
148,10.374099,7.216757,0.0
149,10.637737,6.5723906,2.0
150,11.156207,6.197769,9.0
151,9.158906,6.624883,9.0
152,12.15922,3.7192352,5.0
153,11.70392,5.9624734,5.0
154,13.22194,1.7513629,1.0
155,9.419281,3.936711,5.0
156,11.373134,7.8637505,6.0
157,10.852714,7.102724,0.0
158,9.526856,4.8412824,3.0
159,12.31185,4.842316,4.0
160,11.258497,5.481604,4.0
161,9.944433,7.257957,6.0
162,9.002973,4.4712462,5.0
163,10.532764,6.154575,4.0
164,10.782426,6.957409,6.0
165,8.766093,5.4610324,5.0
166,11.634225,6.1562896,4.0
167,10.590386,5.5226502,5.0
168,12.314648,1.0247247,1.0
169,11.989561,5.864647,4.0
170,12.397241,6.0891995,4.0
171,8.509322,3.1101027,7.0
172,8.567996,4.8507466,2.0
173,9.941287,6.500184,3.0
174,10.505669,4.5360136,2.0
175,13.45658,3.1837633,7.0
176,13.671029,1.7305399,1.0
177,10.329605,4.64148,8.0
178,12.293504,0.8949618,1.0
179,9.755465,3.776407,8.0
180,12.57387,0.93173283,1.0
181,9.655709,4.461441,8.0
182,10.751324,3.5072694,5.0
