,x,y,labels
0,-1.8659796,2.1459227,7.0
1,-0.21469748,-0.6716062,2.0
2,1.9541509,3.14353,1.0
3,0.5876492,-1.920079,0.0
4,-1.827582,0.068923,4.0
5,2.107642,3.087617,1.0
6,-1.0016739,0.3552344,4.0
7,-0.96315867,-0.12302607,9.0
8,-0.9453749,-0.053396717,5.0
9,-1.2314913,1.1930225,9.0
10,-0.47030416,-2.1487908,0.0
11,-0.28630605,-0.62076646,6.0
12,-1.454882,0.94961536,9.0
13,-0.34536874,-1.8170042,0.0
14,0.39425159,3.6190472,1.0
15,-0.3582567,-0.77805513,5.0
16,-1.7740784,0.47816554,9.0
17,-1.8814268,1.3171506,7.0
18,-0.92095083,-0.80922765,3.0
19,-1.2374809,0.35395905,4.0
20,-0.8029209,1.1547868,9.0
21,0.30289426,-0.6123807,6.0
22,-1.2346367,-0.4666611,6.0
23,0.40088552,0.12047845,5.0
24,-1.1955476,0.11088056,4.0
25,0.19606394,-2.4147472,0.0
26,-2.2252624,0.6075644,7.0
27,-1.4818046,0.31729805,4.0
28,0.080842145,-1.4719706,0.0
29,0.17990392,2.6302373,1.0
30,-0.20571515,0.23362905,3.0
31,0.09736297,2.4597292,1.0
32,-0.41566592,-0.13048866,3.0
33,-0.25644636,-1.0137854,4.0
34,-0.2650348,0.7596093,7.0
35,-0.045682613,-0.5441526,2.0
36,-1.5597689,0.845926,7.0
37,0.0979817,3.4410248,1.0
38,-0.047330953,-0.334199,2.0
39,0.66632396,2.9261484,1.0
40,0.5562405,3.3189683,1.0
41,-0.9383487,0.6586799,7.0
42,-1.2267642,0.42618084,4.0
43,0.24509698,-0.525958,2.0
44,0.097935595,-0.01926164,3.0
45,0.25625372,0.06663883,5.0
46,-0.22722343,0.004052192,1.0
47,0.12321111,-0.4723755,2.0
48,-1.5323533,0.31595534,4.0
49,-2.1739328,-0.23822606,4.0
50,1.048106,-0.6496492,6.0
51,-0.70856035,-0.7134163,3.0
52,-0.1630516,0.14798927,5.0
53,-0.4221436,-0.43308884,5.0
54,-1.6063056,-1.1151171,6.0
55,0.21303976,-0.6114032,0.0
56,-2.169554,-0.12246066,4.0
57,1.8133504,3.1871471,1.0
58,-2.3103063,0.68799037,9.0
59,0.15628564,0.77504474,5.0
60,-2.1448333,0.06527918,7.0
61,1.1877197,-0.43580335,8.0
62,-0.5762097,0.41711193,9.0
63,0.44077903,-0.115732044,3.0
64,-0.86223185,0.51327294,7.0
65,-0.33079386,0.60581404,4.0
66,-0.0975043,-0.4396509,6.0
67,-2.8337705,0.15381,4.0
68,-0.16006413,0.012715355,3.0
69,-0.5271534,-2.4011197,0.0
70,-2.1409128,1.3927577,7.0
71,-0.6966429,-2.8143468,0.0
72,-0.16079198,-0.542378,2.0
73,0.4016099,0.5398161,9.0
74,0.19396427,3.1728227,1.0
75,-1.6065079,1.0582111,7.0
76,0.043456383,-0.00016552955,3.0
77,-0.6113036,-0.34264496,2.0
78,-0.0977816,1.1596766,9.0
79,-0.88466084,0.92716014,7.0
80,-1.6573073,0.36660865,7.0
81,0.4820776,-0.78622586,6.0
82,0.09828537,-0.71035546,2.0
83,-1.9487398,0.69822055,7.0
84,-0.8280435,0.109373316,8.0
85,-1.7321339,0.07303079,4.0
86,-1.141443,1.8454471,7.0
87,-0.2929079,-0.20469621,3.0
88,0.020287253,-0.81545943,6.0
89,2.055693,2.70783,1.0
90,0.0036969855,0.018961074,3.0
91,0.66650945,-0.6815486,6.0
92,0.3790606,0.78036845,9.0
93,0.04315783,0.09540104,3.0
94,0.25127745,1.5424912,1.0
95,-1.5523292,0.2156608,4.0
96,-0.0040108934,1.2730212,1.0
97,-0.7307696,0.2875502,7.0
98,0.41127235,-0.829508,6.0
99,-1.9445858,0.032517105,9.0
100,-0.1860795,-0.6361192,6.0
101,-0.53053063,-2.1558359,0.0
102,-0.60200053,0.33426517,5.0
103,-2.412618,-0.13304879,4.0
104,-1.8704107,-0.44912016,9.0
105,-1.8231745,0.41555458,9.0
106,-0.0041080527,-0.83240086,2.0
107,2.3873184,1.8428817,1.0
108,-0.9935637,0.34515607,9.0
109,-0.8233375,0.3564733,4.0
110,0.7055344,0.15060256,8.0
111,0.2770388,1.7688026,7.0
112,0.18427113,0.60816234,3.0
113,-1.5360667,0.4240384,9.0
114,-0.72884744,0.9824814,7.0
115,-0.10334494,1.0175059,4.0
116,-0.57536334,0.74120545,4.0
117,-2.6757178,-0.095079914,4.0
118,-0.8157264,0.9213349,9.0
119,-0.31205505,-0.124240756,2.0
120,-0.4435798,-0.11884543,5.0
121,-0.2412521,0.24768944,4.0
122,-0.8933942,0.36365765,7.0
123,0.545447,-0.75156456,6.0
124,-1.9377232,1.1362376,7.0
125,-0.97137576,0.065401696,9.0
126,-1.034669,-1.7216992,0.0
127,-0.51165867,0.49085957,5.0
128,-0.38124835,0.18457589,8.0
129,0.009048641,0.32892588,5.0
130,0.7398219,-0.8930299,6.0
131,0.9679517,-0.9421285,6.0
132,-0.15030023,-0.3586839,5.0
133,-0.9500558,0.19580664,7.0
134,0.20705456,0.45104617,8.0
135,0.5889409,3.543426,1.0
136,0.12563565,-1.033359,0.0
137,2.287868,2.2785232,1.0
138,0.15817162,-0.920559,6.0
139,-0.99643093,0.8007576,4.0
140,0.54082775,-0.27534533,6.0
141,-1.964907,0.3596789,7.0
142,-0.4466161,-0.2961603,3.0
143,1.5161248,3.4432683,1.0
144,-0.8439264,0.8011368,7.0
145,0.17270163,2.8178086,1.0
146,-0.19536889,0.35528964,8.0
147,0.34337798,-0.7462585,2.0
148,0.44379252,-1.5590997,0.0
149,-0.62639004,-0.35754183,2.0
150,-1.1635219,0.20582302,9.0
151,-1.1281723,-0.5873696,9.0
152,0.6236027,0.3297603,5.0
153,-0.02119232,-0.041796222,5.0
154,0.027729489,3.5152752,1.0
155,0.561088,-0.008782029,5.0
156,-0.8520008,-0.5159642,6.0
157,0.14841217,-1.0635574,0.0
158,-0.38456458,-0.39345935,3.0
159,-0.48191366,0.59143865,4.0
160,-0.70917183,0.04028771,4.0
161,0.84935015,-1.2626648,6.0
162,-0.10482205,0.13447483,5.0
163,-2.7870595,-0.03726603,4.0
164,-0.13983148,-0.3696794,6.0
165,-0.3342383,-0.57233495,5.0
166,-0.54184836,0.10271713,4.0
167,1.5431888,-0.36533633,5.0
168,0.21899155,3.3866074,1.0
169,-1.0791986,0.38053584,4.0
170,-0.97136694,0.25495303,4.0
171,0.38961336,0.22178762,7.0
172,-0.0257978,-0.48007268,2.0
173,-0.41874465,-0.54515713,3.0
174,0.049355768,-0.2515427,2.0
175,-0.043335952,1.7649121,7.0
176,0.71598846,3.1502383,1.0
177,-0.04587172,0.15313293,8.0
178,0.73400843,3.934079,1.0
179,-0.039065268,0.01823404,8.0
180,0.37379986,3.7748454,1.0
181,-0.032042883,-0.18966042,8.0
182,-0.13533121,0.69833416,5.0
183,-0.47311908,-2.5718246,0.0
184,0.26205233,-0.0850519,8.0
185,-1.155539,0.40069628,9.0
186,-0.23679921,-0.49604172,2.0
187,-0.26856902,-0.17654644,5.0
188,0.27241263,-2.7827482,0.0
189,0.16544619,1.9388456,1.0
190,1.5983979,1.9530125,1.0
191,0.04157055,1.0945482,1.0
192,2.5264642,-2.184376,0.0
193,-1.2297225,-0.054380685,9.0
194,-0.05771336,-1.7220075,0.0
195,-0.84720707,-0.16092804,3.0
196,0.4202026,2.7420783,1.0
197,1.3260207,-0.6151981,6.0
198,-1.0294242,0.53661925,4.0
199,0.33507985,-0.22026463,2.0
200,0.018497355,-0.5505777,3.0
201,-0.19435811,-1.246043,6.0
202,2.8118412,2.4535403,1.0
203,0.21266052,3.2224283,1.0
204,1.8822289,3.1350713,1.0
205,-0.18619505,-0.007493034,3.0
206,-0.9838026,0.43240428,9.0
207,-0.47358614,-0.33629733,5.0
208,0.3294195,-0.6908838,2.0
209,-1.5451901,-0.05788794,9.0
210,-2.5282576,0.23973909,4.0
211,-0.22661859,0.6211452,5.0
212,-2.2406766,-0.3958003,9.0
213,0.26862434,1.0032644,3.0
214,-1.1128042,0.366825,9.0
215,0.3766819,-0.76562065,0.0
216,0.050279684,0.102644995,3.0
